Alemania,120.3,143.7,94.8,326.9,685.7,114.1,-2.8,91.9,94.4,297.6,102.3,318.5,183.6,126.8,731.2,82.8,233.1,219,181.7,716.5,164.6,244.4,61.7,14.6,485.4,203.5,84.6,74,87.9,450.1,45.1,122.6,42.3,168,378,126.8,142.9,116.4,122.2,508.3,82.1,71.6,192.1,377.4,723.2,80.2,196.2,162.6,258,697,122,162.3,48.7,-69.8,263.3,299.6,-13,46.6,273,606.2,121.9,422.8,347.2,-37.9,854.1,565.8,294.5,128.7,180.6,1169.7,887.4,417.8,226.6,451.6,1983.5,470,505.3,518.8,654.7,2148.8,134.5,289.6,299.9,515.5,1239.5,904.9,566.5,601.2,695.5,2768,953.6,303.2,452.4,934.1,2643.3,290.2,1271.4,759.2,615.8,2936.5,826.5,656.4,1330.4,682.9,3496.3,709.8,555.7,-546.6,444.8,1163.7,521.5,722.5,275.4,553.8,2073.2,531.4,297.7,229,-842.8,215.2,29234.2
"2371 Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",0,C,C,C,C,C,C,C,C,C,C,C,C,0,C,0,0,0,0,0,0,0,C,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C,C,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,C,0,0,C,0,C,0,0,0,0,0,0,0,0,C,C,0,0,0,0,0,C,0,0,0,C,0,0,C,0,C,0,0,0,0,0,0,0,0,0,0,0,C,C,C,C,0,0,0,0,0,0,0,0,0,0,-0.1
2372 División de terrenos y construcción de obras de urbanización,0,0,0,C,C,0,0,C,0,C,0,0,0,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C,0,C,0,0,0,0,0,0,0,0,0,0,0,0,C,C,168.6,0,C,0,0,C,0,0,-13.8,0,-13.8,0,C,0,0,C,0,0,0,0,0,0,0,0,0,0,C,0,0,C,C,C,0,C,C,C,0,0,C,0,C,0,0,0,C,C,C,0,0,0,C,C,C,C,C,C,C,C,C,C,C,0,0,C,0,C,0,0,0,0,0,0,0,C,0,C,316
2379 Otras construcciones de ingeniería civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,C,0,0,0,0,0,C,C,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
238 Trabajos especializados para la construcción,C,C,C,C,C,C,0,0,C,C,0,0,C,0,C,0,C,0,C,C,0,0,C,0,C,0,C,0,C,C,0,0,0,0,0,0,0,C,C,C,0,0,0,C,C,0,C,C,C,0.1,0,0,0,0,0,C,0,0,0,C,0,0,0,0,0,0,0,0,C,C,C,0,0,0,C,0,0,0,0,0,C,C,C,C,C,C,C,C,0,C,0,C,C,0,C,0,0,C,0,C,C,0,0,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,38.4
"2381 Cimentaciones, montaje de estructuras prefabricadas y trabajos en exteriores",0,0,0,0,0,0,0,0,C,C,0,0,C,0,C,0,C,0,C,C,0,0,C,0,C,0,0,0,C,C,0,0,0,0,0,0,0,C,C,C,0,0,0,C,C,0,0,C,0,C,0,0,0,0,0,C,0,0,0,C,0,0,0,0,0,0,0,0,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
2382 Instalaciones y equipamiento en construcciones,C,C,C,C,C,C,0,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,0,0,0,0,0,0,0,0,0,0,0,C,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,C,0,C,C,0,0,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6
2389 Otros trabajos especializados para la construcción,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,C,0,0,0,0,0,C,C,C,C,C,C,C,C,0,C,0,C,C,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C
31-33 Industrias manufactureras,-9.1,114.9,31.7,245.3,382.9,102.5,-45.2,73.7,91.3,222.3,88.3,95,118.5,103.5,405.4,32.8,223.1,197.5,176.5,630,121.8,72.9,78.3,-2.6,270.3,160.3,71.6,71.6,79.3,382.7,38.2,83.7,54.8,131.7,308.4,84.6,127.9,52.8,96.9,362.3,40.3,47.7,121,195.1,404.1,52.1,156.6,132.5,186.2,527.4,92.1,222.7,64.6,-110.3,269.1,146.9,-2.2,45.9,167.7,358.3,93.3,213.7,268.5,115.9,691.5,534.4,55.7,133.8,142.8,866.6,860.6,324.2,235.1,418.7,1838.6,441.1,432.4,514.6,548.1,1936.2,67.1,226.6,290.1,588.7,1172.5,721.8,476.7,584.8,595.2,2378.6,833.7,289.5,211.8,1007.1,2342.1,27.2,1069.7,638.4,483.6,2218.9,611.8,666.8,1273.4,623,3175,629.6,515,-521.4,452.6,1075.8,419.8,689.5,121.5,516,1746.7,419.6,190.5,206.9,-837.3,-20.3,23945.3
311 Industria alimentaria,C,0,C,0,C,0,0,C,C,0.7,0,0,0,C,C,0,0,C,0,C,0,0,C,0,C,C,0,0,0,C,0,C,0,C,0.2,0,C,0,0,C,C,0,0,C,C,0,C,0,0,C,C,C,0,C,0,C,0,0,0,C,C,C,0,0,0.8,0,0,0,C,C,0,0,0,0,0,0,C,0,C,C,0,0,C,0,C,0,0,C,0,C,C,C,C,0,C,C,C,0,0,C,C,C,C,0,-28,C,0,C,C,C,C,0,0,C,C,0,0,0,0,0,-8.3
3112 Molienda de granos y de semillas y obtención de aceites y grasas,C,0,C,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3113 Elaboración de azúcares, chocolates, dulces y similares",0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
"3114 Conservación de frutas, verduras, guisos y otros alimentos preparados",0,0,0,0,0,0,0,C,0,C,0,0,0,0,0,0,0,C,0,C,0,0,0,0,0,C,0,0,0,C,0,C,0,C,C,0,C,0,0,C,0,0,0,C,C,0,C,0,0,C,0,0,0,C,C,C,0,0,0,C,C,0,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
3115 Elaboración de productos lácteos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
"3116 Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",0,0,0,0,0,0,0,0,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
3117 Preparación y envasado de pescados y mariscos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
3118 Elaboración de productos de panadería y tortillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C,0,C,C,C,0,0,C,C,C,C,0,C,C,0,C,C,C,C,0,0,C,C,0,0,0,0,0,C
3119 Otras industrias alimentarias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,C,0,0,0,0,0,0,0,0,0,0,C,0,0,0,C,0,0,0,0,0,C,0,0,0,C,0,0,0,C,C,0,0,0,0,0,0,C,0,C,C,0,0,C,0,C,0,0,C,0,C,0,0,0,0,0,0,0,0,0,0,0,C,0,0,C,C,0,0,0,C,0,0,0,0,0,0,0,0,0,0,11.5
313 Fabricación de insumos textiles y acabado de textiles,C,C,C,C,C,C,C,C,C,C,C,0.8,0.3,C,1.8,C,C,C,0.6,5.1,C,C,C,0.4,1.5,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,1.9,C,C,C,2.4,C,C,C,C,C,C,C,C,C,C,C,C,C,C,11.2,-0.7,C,C,C,-0.6,0.2,C,C,-0.3,-0.6,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,6.4,C,-0.9,2.7,5.6,8.6,5.7,6,2.2,C,15.8,-3.6,0.7,C,-4.2,-7,2.2,C,5.9,2.3,9.3,7.3,-0.9,-3.7,C,5.7,118.5
